City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Amboise,FR,47.4125,0.9827,50.54,93,90,9.22,overcast clouds
336,Tiarei,PF,-17.5333,-149.3333,82.42,76,18,16.02,light rain
337,Odesskoye,RU,54.2111,72.9651,-10.37,93,40,6.6,scattered clouds
338,Bontang,ID,0.1333,117.5,82.78,72,100,2.86,light rain
339,Trelew,AR,-43.249,-65.3051,66.72,53,0,11.74,clear sky
340,Clayton,US,33.5335,-84.3666,66.56,79,75,3.0,broken clouds
341,Nurobod,UZ,40.9056,69.8023,38.25,80,100,2.19,overcast clouds
342,Nikolayevka,RU,53.1257,47.2041,7.54,97,52,6.08,broken clouds
343,Olovyannaya,RU,50.95,115.5667,-8.63,93,26,2.13,scattered clouds
344,Luganville,VU,-15.5333,167.1667,85.24,74,86,5.93,overcast clouds
